Grid_ID,Month,Mean_Chlorophyll_Conc,Mean_Nutrient_Conc,AlgalBloom_Observations,Bloom
1,1,20.97586207,0.078125,0,0
1,2,21.34242424,0.057894737,0,0
1,3,26.33466667,0.061111111,0,0
1,4,45.43333333,0.086666667,1,1
1,5,55.70821918,0.104210526,0,0
1,6,78.01315789,0.141538462,0,0
1,7,79.41908399,0.079526383,1,1
1,8,95.34833333,0.187818182,0,0
1,9,38.97471826,0.0934,0,0
1,10,38.40273973,0.127142857,0,0
1,11,18.28405797,0.082222222,0,0
1,12,15.81392405,0.068235294,0,0
10,7,2.892346154,0.021857143,0,0
10,8,6.284226191,0.005793352,1,1
10,9,9.97,0.064,1,1
10,11,1.209075,0.008166667,0,0
11,1,23.14736842,0.04,0,0
11,2,32.00740741,0.045714286,0,0
11,3,28.08518519,0.025,1,1
11,4,25.94807692,0.025,0,0
11,5,22.42040816,0.13,0,0
11,6,33.86472727,0.036333333,0,0
11,7,31.99565217,0,0,0
11,8,42.10204082,0.03,0,0
11,9,33.37446809,0.03,0,0
11,10,22.946,0,0,0
11,11,14.21372549,0.065,0,0
11,12,16.69387755,0.08,0,0
12,1,21.5075,0.104666667,0,0
12,2,16.39111111,0.099411765,0,0
12,3,18.82765957,0.098333333,0,0
12,4,24.7452381,0.1125,0,0
12,5,21.72888889,0.119285714,1,1
12,6,28.0375,0.144166667,0,0
12,7,33.54634146,0.098,0,0
12,8,35.91707317,0.095555556,0,0
12,9,22.15021739,0.104733333,0,0
12,10,43.48863636,0.104166667,0,0
12,11,13.27045455,0.068333333,0,0
12,12,13.78918919,0.065,0,0
14,7,10.34166667,0.005079339,0,0
14,8,9.024479167,0.009533684,0,0
14,9,20.21333333,0.006666667,0,0
14,10,17.29,0.003,0,0
14,11,3.523333333,0.01225,0,0
15,7,3.134809545,0.026214286,0,0
15,8,12.0461092,0.007318268,0,0
15,9,9.396666666,0.013273112,0,0
15,10,8.1284725,0.007,0,0
16,6,14.88,0.007,0,0
16,9,4.84,0.077,2,1
17,1,4.848571429,0.048461538,0,0
17,2,6.771875,0.041818182,0,0
17,3,9.728888889,0.18,0,0
17,4,10.76571429,0.1375,0,0
17,5,12.15,0.075454545,0,0
17,6,14.67179487,0.144,2,1
17,7,17.73839616,0.059291099,7,1
17,8,15.32522222,0.045520222,9,1
17,9,16.196,0.052125,4,1
17,10,10.75588235,0.06375,1,1
17,11,5.315789474,0.050833333,0,0
17,12,5.95,0.056666667,0,0
18,1,9.95,0,0,0
18,2,10.69090909,0,0,0
18,3,13.25833333,0,1,1
18,4,15.08571429,0,0,0
18,5,9.25,0,0,0
18,6,10.02857143,0,0,0
18,7,14.75307571,0.038666667,3,1
18,8,12.935819,0.009394033,0,0
18,9,17.60379274,0.011503779,0,0
18,10,14.23333333,0,0,0
18,11,12.45,0.02,0,0
18,12,7.975,0,0,0
19,1,7.905882353,0.025,0,0
19,2,11.01,0,0,0
19,3,11.74545455,0.02,0,0
19,4,10.97777778,0,0,0
19,5,7.166666667,0.02,0,0
19,6,10.45851852,0.007,0,0
19,7,15.21759882,0.056833333,0,0
19,8,17.87919048,0.008240313,0,0
19,9,20.16697514,0.006851948,0,0
19,10,16.94761905,0,0,0
19,11,13.34545455,0.03,0,0
19,12,10.85,0,0,0
2,1,8.529642857,0.076,0,0
2,2,10.265,0.029964286,0,0
2,3,8.560731707,0.03548,1,1
2,4,10.94571429,0.124433333,0,0
2,5,15.58228571,0.0126375,0,0
2,6,16.60210526,0.15,0,0
2,7,14.27067974,0.012569604,0,0
2,8,10.0965175,0.023340741,0,0
2,9,12.78806452,0.050075,0,0
2,10,12.48452974,0.01104,0,0
2,11,10.1515625,0.019257143,0,0
2,12,10.37813953,0.03,0,0
20,6,8.81,0.009,0,0
20,7,13.12735,0.011,0,0
20,8,18.40273016,0.007155635,1,1
20,9,14.07096278,0.006455231,0,0
22,1,4.866666667,0.094,0,0
22,2,7.06,0.038571429,0,0
22,3,9.5625,0.06,0,0
22,4,9.542857143,0.11,0,0
22,5,12.24,0.124,0,0
22,6,16.32142857,0.185,1,1
22,7,24.52666667,0.07,4,1
22,8,35.8625,0.123333333,1,1
22,9,30.17333333,0.1025,1,1
22,10,24.85714286,0.082,0,0
22,11,10.27142857,0.095,0,0
22,12,11.25,0.055,0,0
23,1,17.2,0,0,0
23,2,18,0,0,0
23,3,21.93333333,0,0,0
23,4,20,0,0,0
23,5,7.8,0,2,1
23,6,19,0,2,1
23,7,28.18,0,14,1
23,8,32.34125,0.004,7,1
23,9,31.85,0.004,6,1
23,10,19.16,0,0,0
23,11,18.1,0,0,0
23,12,18.25,0,0,0
24,6,36.68,0.005,0,0
24,7,38.65555667,0.106,1,1
24,8,22.84258929,0.015496613,1,1
24,9,37.59,0.011666667,0,0
24,10,15.94,0,0,0
3,7,3.065866667,0.011,0,0
3,8,5.827237879,0.023192908,0,0
3,9,5.533294286,0.019179734,0,0
6,1,17.67027027,0.036666667,1,1
6,2,23.13611111,0.0375,0,0
6,3,17.425,0.03,0,0
6,4,19.490625,0,0,0
6,5,16.7625,0.13,0,0
6,6,21.39444444,0,0,0
6,7,19.58387097,0,0,0
6,8,20.90909091,0,1,1
6,9,22.42647059,0.007,1,1
6,10,17,0,0,0
6,11,12.30294118,0.06,0,0
6,12,14.79032258,0.05,1,1
7,1,17.53043478,0,0,0
7,2,35.10454545,0.07,0,0
7,3,18.83181818,0,0,0
7,4,12.11153846,0,0,0
7,5,11.31034483,0,0,0
7,6,12.26551724,0,0,0
7,7,12.57586207,0,0,0
7,8,14.8053062,0.005423629,0,0
7,9,14.09439655,0.016285714,0,0
7,10,12.64,0,0,0
7,11,9.74,0,0,0
7,12,11.55789474,0,0,0
8,7,6.849976851,0.007032774,0,0
8,8,8.22689957,0.016595884,0,0
8,9,9.41962,0.007714286,0,0
8,10,3.880416667,0.0109,0,0
9,1,5.027777778,0,0,0
9,2,3.513333333,0.013833333,0,0
9,3,4.892857143,0.0221,0,0
9,4,4.17,0,0,0
9,5,4.058571429,0.015757143,0,0
9,6,4.548888889,0.0034,0,0
9,7,4.080108333,0.015125,0,0
9,8,6.079957353,0.013579783,0,0
9,9,4.616944445,0.010354756,0,0
9,10,3.959241818,0.007,0,0
9,11,3.0377775,0.012025,0,0
9,12,4.5825,0,0,0
